longitude,latitude,housingMedianAge,totalRooms,totalBedrooms,medianHouseValue
-118.18,34.11,33.0,1523.0,391.0,183800.0
-121.24,38.22,28.0,2593.0,487.0,113000.0
-121.01,37.62,35.0,2074.0,477.0,73700.0
-119.29,34.29,33.0,3854.0,982.0,323900.0
-119.79,36.77,43.0,2323.0,502.0,58700.0
-118.05,34.07,32.0,4492.0,1075.0,183100.0
-118.15,34.11,52.0,2375.0,369.0,469100.0
-119.76,36.77,36.0,2507.0,466.0,72300.0
-118.18,33.77,45.0,1434.0,627.0,162500.0
-118.13,33.82,44.0,1619.0,280.0,232200.0
-118.46,34.21,7.0,2081.0,657.0,186900.0
-121.92,37.53,7.0,28258.0,3864.0,451100.0
-122.06,37.38,20.0,3401.0,768.0,500001.0
-117.06,32.63,29.0,4168.0,742.0,169800.0
-122.37,37.59,39.0,4645.0,1196.0,353800.0
-118.03,33.82,20.0,2662.0,464.0,318500.0
-118.3,33.73,40.0,2582.0,606.0,276400.0
-122.04,37.62,35.0,657.0,118.0,204200.0
-117.31,33.17,7.0,2349.0,312.0,283900.0
-122.25,38.11,49.0,2365.0,504.0,103100.0
-118.97,35.38,35.0,1673.0,426.0,57500.0
-117.07,32.71,39.0,2754.0,652.0,89600.0
-122.33,37.58,28.0,2784.0,736.0,285400.0
-117.06,32.57,17.0,2252.0,378.0,141100.0
-118.15,33.78,17.0,1584.0,435.0,181300.0
-122.46,37.59,21.0,12902.0,2118.0,325800.0
-121.43,37.76,7.0,2125.0,508.0,147600.0
-118.35,33.9,31.0,1547.0,344.0,225000.0
-119.79,36.29,6.0,1265.0,227.0,104200.0
-120.79,38.24,19.0,1003.0,235.0,90400.0
-117.0,33.29,17.0,2073.0,313.0,419200.0
-118.11,34.17,46.0,2837.0,592.0,234600.0
-119.78,36.33,16.0,1006.0,212.0,112500.0
-122.0,37.96,28.0,4071.0,713.0,190700.0
-118.41,34.07,52.0,1202.0,142.0,500001.0
-117.01,32.72,12.0,2914.0,734.0,132300.0
-122.4,37.74,45.0,2462.0,509.0,211800.0
-117.61,34.08,12.0,4427.0,822.0,158700.0
-118.45,34.0,48.0,1923.0,408.0,326700.0
-118.17,34.68,13.0,5341.0,773.0,185600.0
-119.29,36.34,35.0,1235.0,369.0,71000.0
-122.21,37.77,43.0,1017.0,328.0,100000.0
-117.9,33.65,30.0,2196.0,486.0,272300.0
-121.06,39.25,17.0,3127.0,539.0,172800.0
-117.17,32.77,35.0,1399.0,274.0,166800.0
-121.39,38.59,33.0,2091.0,468.0,108100.0
-122.38,40.67,10.0,2281.0,444.0,65600.0
-120.61,35.12,31.0,1486.0,345.0,165400.0
-122.52,37.93,34.0,2782.0,502.0,333900.0
-124.35,40.54,52.0,1820.0,300.0,94600.0
-121.49,38.55,52.0,2515.0,460.0,151100.0
-122.34,37.98,33.0,2014.0,410.0,131300.0
-116.97,33.13,10.0,5149.0,851.0,287500.0
-118.02,34.14,34.0,1077.0,257.0,252800.0
-119.28,36.54,33.0,1470.0,330.0,57400.0
-122.58,38.59,33.0,1239.0,262.0,195800.0
-118.39,34.15,29.0,917.0,181.0,425000.0
-121.44,38.6,16.0,2987.0,864.0,137500.0
-117.76,33.53,18.0,3224.0,561.0,391900.0
-118.29,33.72,21.0,1568.0,452.0,225000.0
-118.24,33.89,34.0,1479.0,332.0,100900.0
-116.17,33.53,13.0,1713.0,512.0,58600.0
-117.27,33.08,7.0,2949.0,447.0,342400.0
-120.84,37.52,16.0,4527.0,887.0,124800.0
-119.01,35.38,44.0,434.0,110.0,57500.0
-122.11,37.7,19.0,2693.0,789.0,137500.0
-117.04,32.73,36.0,2084.0,400.0,130700.0
-122.81,40.93,16.0,2050.0,471.0,88900.0
-122.36,40.56,20.0,3592.0,868.0,64800.0
-117.08,32.97,3.0,17466.0,3336.0,246500.0
-121.98,37.37,36.0,1651.0,344.0,215400.0
-120.93,38.26,13.0,2084.0,449.0,114200.0
-117.58,33.87,30.0,701.0,131.0,144300.0
-117.18,34.04,38.0,2492.0,381.0,152800.0
-117.92,33.63,34.0,2479.0,491.0,317900.0
-118.32,33.94,37.0,2740.0,504.0,168800.0
-117.96,34.06,34.0,2226.0,381.0,183200.0
-122.43,37.76,52.0,3771.0,1017.0,427300.0
-122.41,37.75,52.0,3065.0,622.0,275900.0
-118.23,34.09,47.0,859.0,239.0,136100.0
-121.43,37.74,52.0,876.0,170.0,119800.0
-118.04,33.92,35.0,2469.0,522.0,156200.0
-117.9,33.8,23.0,1368.0,397.0,350000.0
-117.28,33.18,14.0,676.0,118.0,178100.0
-118.12,34.08,36.0,2433.0,585.0,234900.0
-117.96,34.02,33.0,349.0,124.0,133300.0
-122.4,37.72,47.0,1465.0,306.0,219400.0
-122.53,37.9,44.0,2846.0,551.0,327200.0
-118.15,34.12,49.0,1789.0,288.0,500000.0
-121.25,37.96,26.0,2205.0,478.0,68300.0
-117.66,34.14,11.0,3628.0,469.0,325000.0
-117.04,32.68,9.0,3087.0,609.0,125000.0
-121.97,37.79,16.0,3873.0,484.0,341300.0
-118.37,34.2,33.0,1438.0,309.0,170400.0
-118.31,33.73,52.0,2025.0,361.0,350000.0
-122.26,37.77,52.0,1670.0,350.0,282100.0
-121.79,36.85,28.0,1049.0,235.0,150000.0
-119.71,34.42,52.0,1838.0,692.0,237500.0
-117.77,33.6,33.0,247.0,80.0,237500.0
-118.1,34.13,47.0,2234.0,276.0,500001.0
-117.95,34.05,31.0,2349.0,539.0,154500.0
-121.82,37.27,16.0,2030.0,321.0,279100.0
-120.05,36.95,31.0,696.0,254.0,52500.0
-118.09,33.71,19.0,1397.0,271.0,500001.0
-117.24,32.79,20.0,961.0,278.0,245800.0
-122.04,37.29,19.0,3625.0,432.0,500001.0
-121.66,36.69,6.0,10613.0,2485.0,168900.0
-117.23,34.11,33.0,2170.0,500.0,78300.0
-117.84,34.11,17.0,3499.0,621.0,191700.0
-119.77,36.76,43.0,1945.0,413.0,54600.0
-120.65,35.41,15.0,6725.0,1111.0,261600.0
-122.53,37.95,22.0,7446.0,1979.0,271300.0
-119.8,37.5,15.0,989.0,184.0,121900.0
-120.22,38.05,14.0,3803.0,689.0,137000.0
-117.25,33.2,22.0,2361.0,618.0,124500.0
-118.09,33.82,36.0,2219.0,393.0,239800.0
-118.45,34.29,30.0,762.0,228.0,154200.0
-124.17,40.74,17.0,2026.0,338.0,128900.0
-120.95,37.67,15.0,3062.0,584.0,137600.0
-117.42,34.09,28.0,3193.0,525.0,128300.0
-122.39,37.6,36.0,1770.0,499.0,273100.0
-120.64,36.99,23.0,2363.0,449.0,75700.0
-122.08,37.63,35.0,517.0,108.0,156900.0
-118.04,34.12,30.0,2170.0,318.0,500001.0
-122.0,36.93,51.0,1616.0,374.0,400000.0
-118.23,33.91,27.0,1694.0,393.0,89100.0
-121.48,38.58,48.0,2434.0,744.0,140600.0
-121.15,38.89,20.0,2024.0,313.0,239400.0
-122.26,37.78,52.0,970.0,217.0,201300.0
-122.75,38.46,16.0,2653.0,606.0,146900.0
-122.08,37.35,33.0,2398.0,317.0,500001.0
-122.08,37.34,28.0,1643.0,216.0,500001.0
-117.6,33.87,18.0,6450.0,1165.0,150300.0
-118.41,34.01,44.0,2010.0,394.0,333500.0
-117.82,35.03,30.0,2555.0,510.0,71800.0
-124.14,40.59,17.0,2985.0,610.0,76800.0
-118.4,34.04,40.0,2079.0,268.0,500001.0
-121.25,37.76,22.0,2430.0,417.0,182400.0
-119.79,36.79,19.0,1524.0,448.0,47500.0
-118.29,33.99,39.0,979.0,235.0,108900.0
-119.67,34.44,32.0,3202.0,537.0,463800.0
-121.9,37.39,42.0,42.0,14.0,500001.0
-117.79,34.02,5.0,18690.0,2862.0,315600.0
-116.86,33.73,13.0,2604.0,443.0,170700.0
-118.3,33.84,37.0,1241.0,226.0,232400.0
-122.01,37.39,16.0,3015.0,829.0,249500.0
-118.45,34.23,25.0,4393.0,1369.0,183700.0
-119.31,35.99,26.0,1460.0,316.0,47800.0
-121.42,37.74,19.0,1393.0,367.0,103100.0
-121.65,36.77,15.0,2191.0,358.0,227500.0
-118.11,33.94,32.0,2098.0,378.0,255400.0
-124.3,41.8,19.0,2672.0,552.0,85800.0
-117.12,32.75,20.0,1406.0,413.0,114600.0
-117.27,32.99,21.0,3318.0,578.0,382100.0
-121.84,37.25,17.0,2363.0,473.0,141600.0
-118.35,34.05,52.0,1971.0,414.0,195800.0
-118.39,34.04,45.0,2089.0,312.0,500001.0
-122.29,37.76,18.0,2873.0,763.0,265400.0
-118.03,33.96,37.0,1180.0,256.0,164600.0
-117.14,32.71,52.0,1225.0,332.0,106300.0
-118.42,33.98,3.0,475.0,155.0,450000.0
-117.42,34.08,28.0,2300.0,419.0,127700.0
-120.2,37.84,9.0,13670.0,2453.0,137900.0
-122.03,37.36,28.0,2490.0,345.0,411900.0
-117.53,34.02,19.0,256.0,34.0,375000.0
-121.98,37.36,35.0,1293.0,223.0,281900.0
-122.39,37.76,52.0,3390.0,691.0,253700.0
-117.27,33.55,4.0,6112.0,890.0,429000.0
-117.13,32.8,33.0,2731.0,456.0,175300.0
-117.83,33.8,30.0,4713.0,758.0,221000.0
-118.35,33.88,25.0,1459.0,362.0,237500.0
-122.33,37.53,25.0,1729.0,383.0,458500.0
-121.97,36.97,24.0,3665.0,870.0,228500.0
-118.11,34.2,36.0,4915.0,725.0,359400.0
-117.08,32.64,11.0,1651.0,533.0,141700.0
-118.43,34.3,33.0,2443.0,498.0,146000.0
-122.08,37.65,35.0,1813.0,393.0,165400.0
-117.22,33.48,5.0,1585.0,247.0,493300.0
-117.1,32.69,29.0,4174.0,1195.0,103600.0
-117.86,33.89,24.0,2002.0,253.0,274500.0
-122.11,37.42,32.0,3058.0,595.0,417800.0
-118.13,33.76,44.0,2532.0,621.0,406900.0
-114.56,33.69,17.0,720.0,174.0,85700.0
-117.05,32.95,17.0,3039.0,555.0,178600.0
-116.91,32.86,10.0,3699.0,838.0,139500.0
-117.91,33.9,27.0,829.0,114.0,293500.0
-121.19,39.05,14.0,1131.0,193.0,180400.0
-119.76,36.79,26.0,3654.0,837.0,72800.0
-119.29,34.45,26.0,2849.0,535.0,230800.0
-118.37,33.87,19.0,757.0,148.0,304200.0
-122.5,37.6,35.0,2197.0,369.0,241700.0
-116.87,33.93,32.0,3141.0,812.0,54600.0
-120.85,37.05,32.0,2893.0,481.0,140600.0
-118.18,33.82,43.0,284.0,65.0,207500.0
-119.65,36.35,38.0,3148.0,568.0,85500.0
-121.45,37.72,2.0,2239.0,321.0,240200.0
-117.89,33.87,32.0,1133.0,216.0,202100.0
-117.38,33.97,29.0,1157.0,297.0,155000.0
-117.66,33.59,18.0,4552.0,706.0,288100.0
-121.46,38.52,34.0,1279.0,285.0,65600.0
-121.28,38.59,3.0,4188.0,1136.0,92500.0
-118.37,34.05,35.0,2457.0,552.0,345300.0
-121.36,38.57,26.0,1793.0,244.0,129500.0
-118.0,34.07,34.0,1696.0,456.0,138500.0
-122.08,37.62,17.0,2485.0,518.0,157300.0
-124.16,41.92,19.0,1668.0,324.0,75000.0
-121.92,37.28,27.0,3028.0,486.0,308800.0
-118.22,34.19,31.0,4704.0,920.0,400000.0
-122.26,38.04,41.0,2512.0,539.0,123000.0
-117.55,33.94,30.0,5398.0,926.0,163900.0
-121.27,38.64,22.0,1597.0,280.0,213500.0
-122.67,38.33,4.0,8072.0,1606.0,220300.0
-122.46,37.7,42.0,876.0,216.0,235900.0
-121.37,38.66,9.0,3184.0,779.0,86000.0
-117.65,33.42,25.0,2174.0,428.0,249400.0
-114.73,33.43,24.0,796.0,243.0,59200.0
-117.22,34.07,8.0,3065.0,692.0,129200.0
-118.03,33.93,35.0,2470.0,416.0,179500.0
-118.07,33.97,36.0,1265.0,273.0,156200.0
-122.43,37.79,52.0,3522.0,938.0,500001.0
-118.11,34.08,30.0,2350.0,472.0,201000.0
-118.01,34.09,29.0,3402.0,747.0,179200.0
-118.54,36.12,11.0,4103.0,882.0,99100.0
-117.13,32.7,35.0,1179.0,344.0,70200.0
-123.75,39.37,16.0,1377.0,296.0,151400.0
-120.49,37.29,17.0,2414.0,594.0,62700.0
-119.19,34.16,35.0,2733.0,510.0,183400.0
-117.89,33.74,33.0,619.0,139.0,154400.0
-118.37,34.14,8.0,4382.0,1560.0,197900.0
-120.95,37.65,14.0,5200.0,1119.0,107000.0
-122.32,37.97,29.0,2347.0,464.0,161000.0
-117.95,33.78,9.0,3553.0,1035.0,133800.0
-120.92,38.86,11.0,1720.0,345.0,128600.0
-121.94,38.41,15.0,1263.0,211.0,260900.0
-118.27,33.98,45.0,1696.0,424.0,99200.0
-118.32,34.02,50.0,1655.0,256.0,194300.0
-120.2,39.12,15.0,2146.0,361.0,200000.0
-118.17,33.79,28.0,1219.0,408.0,118300.0
-121.95,37.54,29.0,3517.0,645.0,248900.0
-117.7,33.57,4.0,3283.0,911.0,138500.0
-117.88,33.72,38.0,1421.0,300.0,165300.0
-118.19,34.12,36.0,2833.0,720.0,172100.0
-122.0,37.0,16.0,32.0,4.0,137500.0
-122.02,37.31,35.0,2355.0,384.0,332500.0
-120.12,35.99,7.0,2049.0,482.0,56200.0
-122.5,37.88,28.0,5448.0,1089.0,474600.0
-117.99,33.68,13.0,4000.0,883.0,273600.0
-118.08,33.92,39.0,1631.0,322.0,165700.0
-117.09,33.12,11.0,567.0,184.0,122500.0
-118.18,33.77,36.0,1833.0,688.0,112500.0
-122.16,37.45,19.0,2207.0,810.0,402500.0
-117.17,33.66,2.0,7401.0,1187.0,177300.0
-123.79,39.5,24.0,1421.0,291.0,157300.0
-118.06,33.89,26.0,2483.0,412.0,220500.0
-121.97,37.25,32.0,2892.0,496.0,367800.0
-117.32,33.15,15.0,13245.0,2212.0,262100.0
-117.99,33.89,23.0,2111.0,306.0,347800.0
-117.94,34.03,35.0,1375.0,249.0,151800.0
-122.24,37.8,47.0,2046.0,588.0,182700.0
-118.1,33.8,37.0,1814.0,329.0,240800.0
-122.26,38.1,24.0,1213.0,395.0,94600.0
-118.55,34.27,25.0,4919.0,661.0,352800.0
-122.2,37.79,45.0,2021.0,528.0,115400.0
-117.71,34.09,36.0,2637.0,476.0,158700.0
-117.69,33.66,5.0,4246.0,689.0,225700.0
-122.19,37.77,41.0,2036.0,510.0,89300.0
-117.09,32.83,15.0,4138.0,636.0,264000.0
-119.01,35.37,33.0,821.0,181.0,46700.0
-118.47,34.25,21.0,2692.0,477.0,238900.0
-122.28,37.99,28.0,3801.0,622.0,193300.0
-117.43,33.93,36.0,2386.0,396.0,113300.0
-122.03,37.83,24.0,5948.0,738.0,500001.0
-118.2,34.14,52.0,3800.0,646.0,293900.0
-122.23,37.83,52.0,2990.0,379.0,500001.0
-118.1,33.9,35.0,1151.0,248.0,160000.0
-121.64,36.68,16.0,6568.0,1603.0,156100.0
-118.92,34.4,23.0,1290.0,283.0,198000.0
-119.14,34.29,17.0,2754.0,577.0,154200.0
-122.07,37.67,38.0,2104.0,409.0,165300.0
-119.09,36.21,38.0,1901.0,453.0,44600.0
-117.91,34.12,33.0,1391.0,309.0,149500.0
-121.34,38.61,22.0,1778.0,408.0,142200.0
-119.95,37.47,32.0,1312.0,315.0,91500.0
-121.97,37.4,17.0,2937.0,558.0,255500.0
-117.2,33.83,14.0,1265.0,230.0,161300.0
-121.89,37.25,21.0,2080.0,352.0,264500.0
-119.98,38.94,25.0,1339.0,328.0,109700.0
-118.0,33.93,24.0,4534.0,967.0,215400.0
-117.72,33.63,15.0,1362.0,255.0,162500.0
-118.5,34.03,52.0,1711.0,245.0,500001.0
-117.74,34.06,4.0,1391.0,506.0,137500.0
-117.1,32.68,49.0,1412.0,350.0,93600.0
-120.97,37.69,16.0,2793.0,476.0,160900.0
-119.68,37.19,10.0,3113.0,589.0,96100.0
-121.28,38.13,48.0,1892.0,333.0,143200.0
-117.59,33.93,17.0,338.0,47.0,244200.0
-121.91,37.33,52.0,2212.0,563.0,209500.0
-122.08,37.93,35.0,4043.0,689.0,233200.0
-118.15,33.84,36.0,2987.0,491.0,224100.0
-117.33,33.23,15.0,2919.0,592.0,155600.0
-122.23,38.09,26.0,4397.0,997.0,90000.0
-118.02,34.13,33.0,2874.0,458.0,430900.0
-118.28,34.17,52.0,2332.0,433.0,331200.0
-117.38,33.99,52.0,1797.0,332.0,141700.0
-117.81,33.77,31.0,4624.0,624.0,334600.0
-118.12,33.96,38.0,1301.0,264.0,191300.0
-121.2,37.83,18.0,3415.0,580.0,161400.0
-119.78,36.8,34.0,2200.0,493.0,66500.0
-121.9,38.01,16.0,2604.0,454.0,136000.0
-118.32,33.83,51.0,2399.0,516.0,318900.0
-117.48,34.09,32.0,1650.0,328.0,98600.0
-119.57,36.1,37.0,1676.0,316.0,60700.0
-119.57,36.1,16.0,1461.0,400.0,54800.0
-122.73,38.46,14.0,4042.0,1298.0,135400.0
-117.73,34.09,36.0,1543.0,297.0,117800.0
-117.91,34.08,33.0,2325.0,452.0,217100.0
-117.98,33.65,22.0,3335.0,754.0,197900.0
-121.98,37.54,17.0,5133.0,1375.0,220800.0
-117.52,33.99,14.0,13562.0,2057.0,182900.0
-121.08,39.22,30.0,2188.0,455.0,105200.0
-117.69,33.64,16.0,2592.0,372.0,262000.0
