longitude,latitude,housingMedianAge,totalRooms,totalBedrooms,medianHouseValue,population,households,medianIncome
-117.61,34.08,20.0,3550.0,736.0,128800.0,2229.0,681.0,3.0199
-121.82,36.86,17.0,1573.0,272.0,420000.0,142.0,55.0,2.1719
-118.08,34.13,28.0,4465.0,985.0,228500.0,2273.0,949.0,3.5671
-117.25,34.49,4.0,2372.0,361.0,170900.0,1017.0,322.0,5.1112
-117.93,33.75,24.0,1380.0,339.0,162800.0,1472.0,304.0,4.2219
-118.37,34.23,32.0,1444.0,317.0,164600.0,1177.0,311.0,3.6
-122.24,37.47,35.0,2283.0,491.0,318600.0,1148.0,436.0,4.5556
-118.06,34.1,38.0,1960.0,330.0,265900.0,874.0,308.0,4.8594
-118.06,33.99,38.0,862.0,178.0,186200.0,484.0,176.0,4.375
-122.67,38.45,24.0,2622.0,525.0,242600.0,1027.0,510.0,2.9222
-118.32,34.02,52.0,2511.0,587.0,127100.0,1660.0,546.0,2.6098
-118.37,34.13,28.0,4287.0,627.0,500001.0,1498.0,615.0,8.5677
-122.47,37.74,52.0,2055.0,265.0,500001.0,735.0,252.0,8.1189
-118.14,33.97,31.0,1161.0,267.0,177000.0,1175.0,282.0,3.0114
-122.09,37.39,43.0,2065.0,535.0,327700.0,1029.0,500.0,3.7318
-117.71,33.57,4.0,3289.0,753.0,226000.0,1285.0,651.0,4.045
-118.34,34.18,45.0,3046.0,633.0,226900.0,1448.0,599.0,3.24
-118.3,33.72,28.0,2647.0,658.0,253400.0,1459.0,595.0,3.4474
-117.11,32.7,33.0,1980.0,488.0,86400.0,1626.0,428.0,1.4856
-121.98,37.96,12.0,5048.0,1122.0,126700.0,2209.0,1014.0,3.1573
-118.44,34.06,28.0,3910.0,959.0,500001.0,1763.0,867.0,5.5
-117.95,33.82,35.0,1068.0,190.0,208700.0,514.0,174.0,4.0735
-118.47,33.99,34.0,1875.0,501.0,321400.0,1491.0,526.0,2.8417
-122.53,37.87,20.0,1814.0,282.0,400000.0,658.0,253.0,7.9977
-122.54,37.96,33.0,2534.0,495.0,500001.0,996.0,449.0,4.3083
-118.49,34.2,35.0,1109.0,206.0,215800.0,515.0,202.0,5.2118
-121.36,39.52,15.0,2490.0,527.0,85700.0,1229.0,497.0,2.3917
-121.93,37.32,52.0,1460.0,492.0,167500.0,1165.0,455.0,2.5833
-117.92,34.05,36.0,2241.0,419.0,161900.0,1743.0,448.0,4.6587
-121.36,36.81,7.0,4609.0,741.0,290500.0,1660.0,720.0,5.0871
-117.22,34.12,34.0,2457.0,499.0,82500.0,1538.0,507.0,2.8089999999999997
-119.71,36.74,18.0,8099.0,1670.0,88300.0,4476.0,1514.0,2.4728
-117.43,34.1,43.0,1898.0,418.0,89900.0,971.0,366.0,2.4735
-117.4,34.06,17.0,5451.0,1008.0,101600.0,3533.0,940.0,3.9191
-118.16,33.78,15.0,4798.0,1374.0,163300.0,3087.0,1212.0,2.127
-115.57,32.85,33.0,1365.0,269.0,62300.0,825.0,250.0,3.2396
-122.28,37.75,20.0,1156.0,365.0,100000.0,583.0,326.0,3.1972
-122.29,38.32,23.0,4312.0,993.0,153200.0,2317.0,934.0,2.7667
-121.03,37.69,6.0,2607.0,557.0,137700.0,1266.0,475.0,3.4632
-122.43,37.79,52.0,3020.0,842.0,500001.0,1294.0,769.0,3.4375
-115.48,32.8,21.0,1260.0,246.0,88500.0,805.0,239.0,2.6172
-121.48,38.49,26.0,3165.0,806.0,78600.0,2447.0,752.0,1.5908
-118.43,33.83,19.0,6206.0,1611.0,420200.0,2455.0,1472.0,5.145
-120.58,38.77,21.0,1661.0,406.0,108700.0,789.0,319.0,2.3583
-118.39,34.06,39.0,3299.0,831.0,500001.0,1649.0,759.0,3.3295
-122.02,37.35,22.0,3219.0,756.0,354400.0,1479.0,667.0,4.1473
-118.43,34.25,32.0,2433.0,553.0,159300.0,2318.0,532.0,3.6384
-122.4,37.78,52.0,464.0,202.0,112500.0,286.0,148.0,1.6125
-118.32,34.11,48.0,4472.0,1579.0,410700.0,2796.0,1397.0,2.3974
-119.6,37.29,13.0,1722.0,325.0,137500.0,712.0,269.0,2.625
-119.03,35.36,41.0,2551.0,594.0,76800.0,1342.0,595.0,1.9671
-121.82,39.72,42.0,2978.0,694.0,66300.0,1879.0,679.0,1.5064
-122.32,37.95,37.0,1887.0,353.0,196600.0,895.0,359.0,4.45
-117.9,34.07,36.0,1009.0,164.0,249400.0,466.0,149.0,5.8519
-119.41,36.35,20.0,1743.0,340.0,52900.0,1390.0,336.0,2.2222
-122.04,37.96,28.0,1207.0,252.0,165700.0,724.0,252.0,3.6964
-122.44,37.73,52.0,2381.0,492.0,270000.0,1485.0,447.0,4.3898
-121.25,38.8,14.0,5094.0,729.0,188700.0,1974.0,705.0,5.5205
-120.07,36.96,34.0,1457.0,239.0,96500.0,557.0,226.0,3.6181
-122.3,37.92,32.0,3943.0,605.0,321600.0,1524.0,614.0,6.0677
-117.38,33.19,26.0,4123.0,1145.0,500000.0,1703.0,895.0,1.9891
-122.19,37.76,41.0,921.0,207.0,72500.0,522.0,159.0,1.2083
-118.44,34.02,39.0,3278.0,632.0,465700.0,1321.0,617.0,6.2917
-121.25,36.32,12.0,4776.0,1082.0,100500.0,4601.0,1066.0,2.9184
-121.03,37.67,24.0,2162.0,459.0,98300.0,1468.0,441.0,3.1857
-121.96,37.0,20.0,3847.0,727.0,305200.0,1725.0,737.0,3.3447
-121.74,39.59,24.0,1535.0,279.0,95100.0,726.0,272.0,2.3833
-115.48,32.68,15.0,3414.0,666.0,91200.0,2097.0,622.0,2.3319
-118.6,34.15,28.0,4570.0,744.0,361900.0,1693.0,695.0,6.14
-122.41,37.94,52.0,154.0,33.0,275000.0,89.0,38.0,3.2875
-121.88,36.58,29.0,4910.0,871.0,450000.0,3438.0,904.0,4.0432
-121.89,37.31,40.0,1844.0,340.0,235200.0,719.0,305.0,3.3682
-121.52,37.75,18.0,1544.0,272.0,327300.0,825.0,286.0,4.3229
-120.87,37.07,26.0,2036.0,401.0,88600.0,1343.0,414.0,3.6331
-122.71,38.33,13.0,4011.0,936.0,157600.0,2064.0,914.0,3.6953
-120.59,37.36,11.0,3946.0,978.0,87300.0,2814.0,953.0,2.0179
-122.47,37.78,52.0,2169.0,522.0,446900.0,1220.0,505.0,3.1989
-118.04,34.06,31.0,957.0,295.0,153400.0,1300.0,287.0,2.1383
-121.27,37.96,41.0,461.0,101.0,54000.0,382.0,79.0,1.275
-118.3,33.96,39.0,2802.0,618.0,136300.0,1524.0,529.0,2.6518
-122.31,37.57,42.0,3157.0,676.0,292600.0,1603.0,629.0,3.7422
-119.28,36.32,29.0,2274.0,514.0,66900.0,1234.0,521.0,1.9138
-114.65,33.6,28.0,1678.0,322.0,94900.0,666.0,256.0,2.9653
-118.07,33.93,5.0,906.0,187.0,171900.0,1453.0,158.0,4.125
-117.85,34.12,30.0,4367.0,1033.0,192100.0,2524.0,954.0,3.0448
-120.95,37.59,43.0,1561.0,354.0,81500.0,862.0,332.0,1.8466
-122.14,37.73,43.0,2264.0,390.0,235100.0,931.0,368.0,3.8125
-121.82,37.36,34.0,1834.0,377.0,161500.0,1450.0,347.0,3.7188
-123.73,39.17,20.0,4620.0,1042.0,158800.0,1745.0,794.0,2.375
-122.44,37.79,52.0,3785.0,808.0,500001.0,1371.0,799.0,6.4209
-117.25,32.8,31.0,2182.0,630.0,212500.0,1069.0,599.0,2.9781
-122.47,37.99,22.0,7274.0,1002.0,439200.0,2468.0,957.0,7.494
-122.27,38.0,15.0,1216.0,166.0,240300.0,572.0,178.0,5.8418
-117.34,34.07,46.0,1851.0,425.0,90500.0,1100.0,377.0,2.0461
-122.28,37.84,52.0,729.0,160.0,132000.0,395.0,155.0,1.6875
-118.27,34.18,52.0,3034.0,406.0,498400.0,1158.0,399.0,6.2976
-117.7,33.53,5.0,6698.0,1254.0,288500.0,2834.0,1139.0,5.9088
-118.33,34.11,38.0,3495.0,1100.0,438300.0,1939.0,994.0,2.2148
-123.02,38.36,16.0,1496.0,298.0,268800.0,778.0,284.0,3.8589
-116.93,32.83,21.0,1283.0,278.0,163500.0,684.0,289.0,2.3203
-117.72,33.99,14.0,5622.0,861.0,206700.0,3108.0,821.0,5.7763
-117.35,33.16,10.0,1684.0,515.0,206300.0,902.0,449.0,3.7891
-121.23,37.95,36.0,811.0,168.0,89200.0,514.0,152.0,2.625
-122.49,37.79,52.0,2488.0,281.0,500001.0,805.0,295.0,10.7058
-119.85,36.84,12.0,2272.0,304.0,213900.0,840.0,305.0,8.9669
-117.06,32.79,21.0,3787.0,492.0,391300.0,1246.0,457.0,9.6023
-122.12,37.68,37.0,2412.0,394.0,191100.0,975.0,375.0,4.0417
-120.41,38.03,14.0,2061.0,465.0,115300.0,859.0,462.0,2.1289
-118.1,34.16,46.0,2863.0,513.0,330200.0,1412.0,498.0,5.3272
-121.83,37.26,7.0,3609.0,751.0,213100.0,1739.0,682.0,4.5033
-118.1,33.79,35.0,2370.0,379.0,287200.0,996.0,380.0,5.7368
-117.98,33.61,17.0,2054.0,291.0,383900.0,836.0,288.0,6.8939
-122.43,37.8,52.0,2994.0,821.0,500000.0,1240.0,779.0,3.3715
-121.59,39.1,24.0,1107.0,261.0,48800.0,768.0,205.0,1.7167
-117.41,33.97,24.0,950.0,183.0,125000.0,383.0,182.0,3.0694
-122.37,40.52,18.0,4547.0,774.0,98100.0,2269.0,766.0,3.7896
-121.86,40.77,17.0,2816.0,639.0,65600.0,1027.0,406.0,2.503
-118.96,35.39,23.0,5624.0,1148.0,79000.0,2842.0,1042.0,3.1297
-122.07,37.71,40.0,1808.0,302.0,254900.0,746.0,270.0,5.3015
-118.07,34.09,40.0,1745.0,370.0,198100.0,1293.0,357.0,2.5474
-121.17,37.88,22.0,1283.0,256.0,111800.0,3082.0,239.0,3.5365
-117.22,32.83,34.0,2936.0,597.0,176900.0,1512.0,571.0,3.7841
-121.83,37.31,19.0,11181.0,1895.0,232700.0,7817.0,1853.0,5.6058
-121.06,39.04,14.0,1651.0,279.0,194800.0,633.0,261.0,4.2802
-118.01,33.73,23.0,4095.0,578.0,302500.0,1766.0,589.0,6.7418
-119.32,36.21,29.0,1220.0,232.0,78300.0,619.0,246.0,3.3125
-117.34,33.94,20.0,4589.0,594.0,236500.0,1660.0,595.0,7.4141
-118.45,34.01,37.0,1328.0,250.0,440100.0,626.0,228.0,5.8666
-121.83,37.26,15.0,3243.0,551.0,257400.0,1752.0,551.0,5.5849
-118.17,34.05,35.0,1256.0,294.0,121800.0,2990.0,302.0,3.1528
-121.88,39.74,12.0,14631.0,3298.0,153100.0,7517.0,3262.0,1.6785
-121.94,37.95,18.0,2541.0,355.0,288000.0,986.0,346.0,7.1978
-117.94,33.62,28.0,1765.0,390.0,439100.0,832.0,349.0,6.5928
-117.42,34.08,21.0,4460.0,930.0,127500.0,2657.0,839.0,2.7569
-117.29,33.18,17.0,821.0,176.0,160600.0,436.0,168.0,3.1667
-124.15,41.81,17.0,3276.0,628.0,103100.0,3546.0,585.0,2.2868
-122.41,37.62,39.0,3119.0,758.0,242700.0,1807.0,696.0,3.2216
-117.02,32.81,14.0,3173.0,599.0,182200.0,1451.0,585.0,3.7292
-119.74,36.76,36.0,912.0,216.0,52800.0,842.0,219.0,1.4766
-117.65,33.46,19.0,7034.0,1139.0,277300.0,2824.0,1068.0,6.0873
-117.15,32.91,10.0,2349.0,431.0,183200.0,1598.0,435.0,4.8229
-124.16,40.78,50.0,2285.0,403.0,85400.0,837.0,353.0,2.5417
-123.35,40.99,23.0,141.0,59.0,66000.0,47.0,23.0,1.125
-120.75,37.44,27.0,2295.0,424.0,123200.0,1252.0,350.0,3.6182
-118.45,34.16,22.0,7828.0,2038.0,318300.0,3303.0,1922.0,3.6171
-118.02,33.72,22.0,8844.0,1706.0,267800.0,4404.0,1594.0,4.4453
-121.85,37.41,25.0,1837.0,278.0,265300.0,1006.0,271.0,6.6842
-118.18,34.11,33.0,1523.0,391.0,183800.0,753.0,298.0,2.6591
-121.24,38.22,28.0,2593.0,487.0,113000.0,1365.0,457.0,3.3929
-121.01,37.62,35.0,2074.0,477.0,73700.0,1687.0,431.0,2.0885
-119.29,34.29,33.0,3854.0,982.0,323900.0,1835.0,894.0,3.5294
-119.79,36.77,43.0,2323.0,502.0,58700.0,1144.0,471.0,2.3967
-118.05,34.07,32.0,4492.0,1075.0,183100.0,4119.0,1035.0,3.2373
-118.15,34.11,52.0,2375.0,369.0,469100.0,930.0,351.0,7.4111
-119.76,36.77,36.0,2507.0,466.0,72300.0,1227.0,474.0,2.785
-118.18,33.77,45.0,1434.0,627.0,162500.0,735.0,518.0,1.5
-118.13,33.82,44.0,1619.0,280.0,232200.0,815.0,284.0,5.5449
-118.46,34.21,7.0,2081.0,657.0,186900.0,1456.0,535.0,3.5
-121.92,37.53,7.0,28258.0,3864.0,451100.0,12203.0,3701.0,8.4045
-122.06,37.38,20.0,3401.0,768.0,500001.0,1497.0,747.0,4.2188
-117.06,32.63,29.0,4168.0,742.0,169800.0,2096.0,713.0,4.2204
-122.37,37.59,39.0,4645.0,1196.0,353800.0,2156.0,1113.0,3.4412
-118.03,33.82,20.0,2662.0,464.0,318500.0,1275.0,472.0,6.0162
-118.3,33.73,40.0,2582.0,606.0,276400.0,1304.0,588.0,3.5694
-122.04,37.62,35.0,657.0,118.0,204200.0,328.0,134.0,3.8125
-117.31,33.17,7.0,2349.0,312.0,283900.0,809.0,282.0,5.5520000000000005
-122.25,38.11,49.0,2365.0,504.0,103100.0,1131.0,458.0,2.6133
-118.97,35.38,35.0,1673.0,426.0,57500.0,1041.0,413.0,1.375
-117.07,32.71,39.0,2754.0,652.0,89600.0,2263.0,619.0,2.2454
-122.33,37.58,28.0,2784.0,736.0,285400.0,1534.0,685.0,3.38
-117.06,32.57,17.0,2252.0,378.0,141100.0,1776.0,365.0,4.6364
-118.15,33.78,17.0,1584.0,435.0,181300.0,904.0,406.0,2.0875
-122.46,37.59,21.0,12902.0,2118.0,325800.0,6160.0,2082.0,5.7653
-121.43,37.76,7.0,2125.0,508.0,147600.0,1358.0,464.0,3.6312
-118.35,33.9,31.0,1547.0,344.0,225000.0,956.0,287.0,3.4698
-119.79,36.29,6.0,1265.0,227.0,104200.0,764.0,246.0,4.2917
-120.79,38.24,19.0,1003.0,235.0,90400.0,538.0,190.0,2.9821
-117.0,33.29,17.0,2073.0,313.0,419200.0,573.0,221.0,8.2531
-118.11,34.17,46.0,2837.0,592.0,234600.0,1453.0,549.0,3.1115
-119.78,36.33,16.0,1006.0,212.0,112500.0,515.0,200.0,3.2386
-122.0,37.96,28.0,4071.0,713.0,190700.0,2033.0,647.0,4.5833
-118.41,34.07,52.0,1202.0,142.0,500001.0,408.0,138.0,15.0001
-117.01,32.72,12.0,2914.0,734.0,132300.0,2104.0,703.0,2.3068
-122.4,37.74,45.0,2462.0,509.0,211800.0,1587.0,450.0,2.59
-117.61,34.08,12.0,4427.0,822.0,158700.0,2400.0,843.0,4.7147
-118.45,34.0,48.0,1923.0,408.0,326700.0,1142.0,433.0,4.575
-118.17,34.68,13.0,5341.0,773.0,185600.0,2288.0,724.0,6.6772
-119.29,36.34,35.0,1235.0,369.0,71000.0,1246.0,341.0,1.474
-122.21,37.77,43.0,1017.0,328.0,100000.0,836.0,277.0,2.2604
-117.9,33.65,30.0,2196.0,486.0,272300.0,1131.0,460.0,4.4135
-121.06,39.25,17.0,3127.0,539.0,172800.0,1390.0,520.0,3.9537
-117.17,32.77,35.0,1399.0,274.0,166800.0,695.0,281.0,3.767
-121.39,38.59,33.0,2091.0,468.0,108100.0,1053.0,470.0,2.2264
-122.38,40.67,10.0,2281.0,444.0,65600.0,1274.0,438.0,2.2119999999999997
-120.61,35.12,31.0,1486.0,345.0,165400.0,823.0,322.0,2.6974
-122.52,37.93,34.0,2782.0,502.0,333900.0,1219.0,507.0,5.0779
-124.35,40.54,52.0,1820.0,300.0,94600.0,806.0,270.0,3.0147
-121.49,38.55,52.0,2515.0,460.0,151100.0,836.0,442.0,3.3844
-122.34,37.98,33.0,2014.0,410.0,131300.0,1354.0,427.0,3.9773
-116.97,33.13,10.0,5149.0,851.0,287500.0,2177.0,783.0,6.7957
-118.02,34.14,34.0,1077.0,257.0,252800.0,478.0,199.0,2.6316
-119.28,36.54,33.0,1470.0,330.0,57400.0,1222.0,301.0,1.8163
-122.58,38.59,33.0,1239.0,262.0,195800.0,539.0,246.0,3.5208
-118.39,34.15,29.0,917.0,181.0,425000.0,379.0,183.0,3.4612
-121.44,38.6,16.0,2987.0,864.0,137500.0,1240.0,755.0,2.8231
-117.76,33.53,18.0,3224.0,561.0,391900.0,1310.0,580.0,8.4614
-118.29,33.72,21.0,1568.0,452.0,225000.0,801.0,422.0,3.5109
-118.24,33.89,34.0,1479.0,332.0,100900.0,1166.0,322.0,2.6165
-116.17,33.53,13.0,1713.0,512.0,58600.0,1978.0,442.0,2.1287
-117.27,33.08,7.0,2949.0,447.0,342400.0,1335.0,426.0,6.0922
-120.84,37.52,16.0,4527.0,887.0,124800.0,2531.0,825.0,3.7065
-119.01,35.38,44.0,434.0,110.0,57500.0,274.0,86.0,1.1944
-122.11,37.7,19.0,2693.0,789.0,137500.0,1765.0,724.0,2.4206
-117.04,32.73,36.0,2084.0,400.0,130700.0,1097.0,398.0,3.2717
-122.81,40.93,16.0,2050.0,471.0,88900.0,588.0,195.0,2.7083
-122.36,40.56,20.0,3592.0,868.0,64800.0,1865.0,781.0,2.0258
-117.08,32.97,3.0,17466.0,3336.0,246500.0,7644.0,2895.0,5.4584
-121.98,37.37,36.0,1651.0,344.0,215400.0,1062.0,331.0,4.575
-120.93,38.26,13.0,2084.0,449.0,114200.0,834.0,305.0,3.2937
-117.58,33.87,30.0,701.0,131.0,144300.0,356.0,125.0,3.2917
-117.18,34.04,38.0,2492.0,381.0,152800.0,1003.0,369.0,3.6875
-117.92,33.63,34.0,2479.0,491.0,317900.0,1131.0,490.0,4.9643
-118.32,33.94,37.0,2740.0,504.0,168800.0,1468.0,479.0,4.5368
-117.96,34.06,34.0,2226.0,381.0,183200.0,1464.0,365.0,4.4102
-122.43,37.76,52.0,3771.0,1017.0,427300.0,1575.0,921.0,3.5655
-122.41,37.75,52.0,3065.0,622.0,275900.0,1405.0,606.0,3.7813
-118.23,34.09,47.0,859.0,239.0,136100.0,913.0,234.0,2.6442
-121.43,37.74,52.0,876.0,170.0,119800.0,426.0,179.0,3.0865
-118.04,33.92,35.0,2469.0,522.0,156200.0,2151.0,537.0,3.4219
-117.9,33.8,23.0,1368.0,397.0,350000.0,1940.0,358.0,3.0789
-117.28,33.18,14.0,676.0,118.0,178100.0,384.0,126.0,6.2096
-118.12,34.08,36.0,2433.0,585.0,234900.0,1565.0,563.0,3.2344
-117.96,34.02,33.0,349.0,124.0,133300.0,460.0,83.0,2.375
-122.4,37.72,47.0,1465.0,306.0,219400.0,1119.0,315.0,4.2672
-122.53,37.9,44.0,2846.0,551.0,327200.0,1232.0,537.0,3.8839
-118.15,34.12,49.0,1789.0,288.0,500000.0,848.0,311.0,6.0199
-121.25,37.96,26.0,2205.0,478.0,68300.0,1730.0,472.0,2.4866
-117.66,34.14,11.0,3628.0,469.0,325000.0,1488.0,463.0,7.0844
-117.04,32.68,9.0,3087.0,609.0,125000.0,1530.0,556.0,3.775
-121.97,37.79,16.0,3873.0,484.0,341300.0,1451.0,501.0,6.7857
-118.37,34.2,33.0,1438.0,309.0,170400.0,1378.0,306.0,2.8917
-118.31,33.73,52.0,2025.0,361.0,350000.0,957.0,363.0,4.2059
-122.26,37.77,52.0,1670.0,350.0,282100.0,793.0,299.0,2.9732
-121.79,36.85,28.0,1049.0,235.0,150000.0,705.0,208.0,2.7321
-119.71,34.42,52.0,1838.0,692.0,237500.0,851.0,576.0,1.4851
-117.77,33.6,33.0,247.0,80.0,237500.0,167.0,70.0,3.7059
-118.1,34.13,47.0,2234.0,276.0,500001.0,749.0,260.0,15.0001
-117.95,34.05,31.0,2349.0,539.0,154500.0,2028.0,521.0,3.4939999999999998
-121.82,37.27,16.0,2030.0,321.0,279100.0,1343.0,365.0,6.3566
-120.05,36.95,31.0,696.0,254.0,52500.0,913.0,248.0,1.4
-118.09,33.71,19.0,1397.0,271.0,500001.0,491.0,197.0,8.7397
-117.24,32.79,20.0,961.0,278.0,245800.0,525.0,254.0,3.1838
-122.04,37.29,19.0,3625.0,432.0,500001.0,1252.0,409.0,12.2145
-121.66,36.69,6.0,10613.0,2485.0,168900.0,7249.0,2375.0,3.7912
-117.23,34.11,33.0,2170.0,500.0,78300.0,1425.0,472.0,2.0133
-117.84,34.11,17.0,3499.0,621.0,191700.0,1911.0,621.0,4.8894
-119.77,36.76,43.0,1945.0,413.0,54600.0,1492.0,422.0,1.5174
-120.65,35.41,15.0,6725.0,1111.0,261600.0,3139.0,1029.0,4.1875
-122.53,37.95,22.0,7446.0,1979.0,271300.0,2980.0,1888.0,3.5838
-119.8,37.5,15.0,989.0,184.0,121900.0,406.0,151.0,3.1771
-120.22,38.05,14.0,3803.0,689.0,137000.0,1129.0,477.0,2.7188
-117.25,33.2,22.0,2361.0,618.0,124500.0,1472.0,596.0,2.0625
-118.09,33.82,36.0,2219.0,393.0,239800.0,1042.0,396.0,5.2299
-118.45,34.29,30.0,762.0,228.0,154200.0,840.0,226.0,2.3375
-124.17,40.74,17.0,2026.0,338.0,128900.0,873.0,313.0,4.0357
-120.95,37.67,15.0,3062.0,584.0,137600.0,1624.0,538.0,4.3864
-117.42,34.09,28.0,3193.0,525.0,128300.0,1750.0,523.0,4.1375
-122.39,37.6,36.0,1770.0,499.0,273100.0,1225.0,459.0,2.56
-120.64,36.99,23.0,2363.0,449.0,75700.0,1168.0,410.0,2.2794
-122.08,37.63,35.0,517.0,108.0,156900.0,391.0,107.0,4.0682
-118.04,34.12,30.0,2170.0,318.0,500001.0,984.0,309.0,5.6916
-122.0,36.93,51.0,1616.0,374.0,400000.0,608.0,302.0,3.1932
-118.23,33.91,27.0,1694.0,393.0,89100.0,1890.0,373.0,3.0341
-121.48,38.58,48.0,2434.0,744.0,140600.0,1281.0,662.0,1.6277
-121.15,38.89,20.0,2024.0,313.0,239400.0,879.0,309.0,5.2903
-122.26,37.78,52.0,970.0,217.0,201300.0,528.0,208.0,3.3438
-122.75,38.46,16.0,2653.0,606.0,146900.0,1693.0,586.0,2.6384
-122.08,37.35,33.0,2398.0,317.0,500001.0,832.0,314.0,10.3591
-122.08,37.34,28.0,1643.0,216.0,500001.0,594.0,205.0,12.367
-117.6,33.87,18.0,6450.0,1165.0,150300.0,3716.0,1113.0,4.2721
-118.41,34.01,44.0,2010.0,394.0,333500.0,961.0,365.0,4.5982
-117.82,35.03,30.0,2555.0,510.0,71800.0,1347.0,467.0,3.3693
-124.14,40.59,17.0,2985.0,610.0,76800.0,1544.0,584.0,2.178
-118.4,34.04,40.0,2079.0,268.0,500001.0,720.0,282.0,9.272
-121.25,37.76,22.0,2430.0,417.0,182400.0,1292.0,391.0,3.4009
-119.79,36.79,19.0,1524.0,448.0,47500.0,960.0,386.0,1.5122
-118.29,33.99,39.0,979.0,235.0,108900.0,857.0,236.0,2.5547
-119.67,34.44,32.0,3202.0,537.0,463800.0,1316.0,538.0,5.2888
-121.9,37.39,42.0,42.0,14.0,500001.0,26.0,14.0,1.7361
-117.79,34.02,5.0,18690.0,2862.0,315600.0,9427.0,2777.0,6.4266
-116.86,33.73,13.0,2604.0,443.0,170700.0,978.0,417.0,2.9330000000000003
-118.3,33.84,37.0,1241.0,226.0,232400.0,621.0,255.0,4.9196
-122.01,37.39,16.0,3015.0,829.0,249500.0,1769.0,807.0,4.0068
-118.45,34.23,25.0,4393.0,1369.0,183700.0,3781.0,1267.0,2.5833
-119.31,35.99,26.0,1460.0,316.0,47800.0,880.0,286.0,1.3676
-121.42,37.74,19.0,1393.0,367.0,103100.0,915.0,355.0,1.1957
-121.65,36.77,15.0,2191.0,358.0,227500.0,1150.0,330.0,4.7969
-118.11,33.94,32.0,2098.0,378.0,255400.0,1036.0,385.0,5.0258
-124.3,41.8,19.0,2672.0,552.0,85800.0,1298.0,478.0,1.9797
-117.12,32.75,20.0,1406.0,413.0,114600.0,850.0,412.0,2.3261
-117.27,32.99,21.0,3318.0,578.0,382100.0,1273.0,538.0,5.5922
-121.84,37.25,17.0,2363.0,473.0,141600.0,1369.0,442.0,4.8355
-118.35,34.05,52.0,1971.0,414.0,195800.0,1065.0,409.0,3.6435
-118.39,34.04,45.0,2089.0,312.0,500001.0,834.0,305.0,7.3028
-122.29,37.76,18.0,2873.0,763.0,265400.0,1243.0,663.0,5.1702
-118.03,33.96,37.0,1180.0,256.0,164600.0,614.0,242.0,3.117
-117.14,32.71,52.0,1225.0,332.0,106300.0,955.0,321.0,1.6011
-118.42,33.98,3.0,475.0,155.0,450000.0,236.0,153.0,3.6667
-117.42,34.08,28.0,2300.0,419.0,127700.0,1312.0,444.0,3.4844
-120.2,37.84,9.0,13670.0,2453.0,137900.0,2811.0,1193.0,3.2589
